provincia,cantón,área_de_residencia,sexo,número_total_de_personas_de_15_años_o_más,ocupada,desocupada,fuera_de_la_fuerza_de_trabajo
MANABI,Rocafuerte,Rural,Mujeres,11629,3414,562,7653
MANABI,Santa Ana,Urbana,Hombres,4375,2699,438,1238
MANABI,Santa Ana,Urbana,Mujeres,4751,1664,376,2711
MANABI,Santa Ana,Rural,Hombres,14898,9764,1637,3497
MANABI,Santa Ana,Rural,Mujeres,14408,3136,702,10570
MANABI,Sucre,Urbana,Hombres,8169,4761,1004,2404
MANABI,Sucre,Urbana,Mujeres,8714,3224,795,4695
MANABI,Sucre,Rural,Hombres,15020,9872,1690,3458
MANABI,Sucre,Rural,Mujeres,15152,4016,841,10295
MANABI,Tosagua,Urbana,Hombres,4010,2395,346,1269
MANABI,Tosagua,Urbana,Mujeres,4455,1398,315,2742
MANABI,Tosagua,Rural,Hombres,11760,7061,1417,3282
MANABI,Tosagua,Rural,Mujeres,11625,2312,464,8849
MANABI,24 de Mayo,Urbana,Hombres,2456,1480,235,741
MANABI,24 de Mayo,Urbana,Mujeres,2634,754,170,1710
MANABI,24 de Mayo,Rural,Hombres,9646,4928,1653,3065
MANABI,24 de Mayo,Rural,Mujeres,9040,1389,317,7334
MANABI,Pedernales,Urbana,Hombres,8496,5297,1028,2171
MANABI,Pedernales,Urbana,Mujeres,9686,3007,825,5854
MANABI,Pedernales,Rural,Hombres,14622,7597,3068,3957
MANABI,Pedernales,Rural,Mujeres,14031,2089,842,11100
MANABI,Olmedo,Urbana,Hombres,963,640,45,278
MANABI,Olmedo,Urbana,Mujeres,1071,361,33,677
MANABI,Olmedo,Rural,Hombres,2869,1571,407,891
MANABI,Olmedo,Rural,Mujeres,2665,506,59,2100
MANABI,Puerto López,Urbana,Hombres,4452,3001,397,1054
MANABI,Puerto López,Urbana,Mujeres,4415,1210,353,2852
MANABI,Puerto López,Rural,Hombres,4708,2896,561,1251
MANABI,Puerto López,Rural,Mujeres,4600,845,386,3369
MANABI,Jama,Urbana,Hombres,1822,1101,254,467
MANABI,Jama,Urbana,Mujeres,1955,604,232,1119
MANABI,Jama,Rural,Hombres,3999,2482,500,1017
MANABI,Jama,Rural,Mujeres,3941,733,200,3008
MANABI,Jaramijó,Urbana,Hombres,9608,6105,1144,2359
MANABI,Jaramijó,Urbana,Mujeres,9981,2548,767,6666
MANABI,Jaramijó,Rural,Hombres,453,335,35,83
MANABI,Jaramijó,Rural,Mujeres,434,120,42,272
MANABI,San Vicente,Urbana,Hombres,3645,2139,484,1022
MANABI,San Vicente,Urbana,Mujeres,4157,1385,511,2261
MANABI,San Vicente,Rural,Hombres,5279,3016,716,1547
MANABI,San Vicente,Rural,Mujeres,5239,1184,311,3744
MORONA SANTIAGO,Morona,Urbana,Hombres,7573,4913,607,2053
MORONA SANTIAGO,Morona,Urbana,Mujeres,8383,4366,601,3416
MORONA SANTIAGO,Morona,Rural,Hombres,9710,4012,1781,3917
MORONA SANTIAGO,Morona,Rural,Mujeres,10514,2574,952,6988
MORONA SANTIAGO,Gualaquiza,Urbana,Hombres,2960,2043,238,679
MORONA SANTIAGO,Gualaquiza,Urbana,Mujeres,3463,1805,172,1486
MORONA SANTIAGO,Gualaquiza,Rural,Hombres,3943,1857,577,1509
MORONA SANTIAGO,Gualaquiza,Rural,Mujeres,4106,1017,205,2884
MORONA SANTIAGO,Limón Indanza,Urbana,Hombres,1271,859,94,318
MORONA SANTIAGO,Limón Indanza,Urbana,Mujeres,1527,846,116,565
MORONA SANTIAGO,Limón Indanza,Rural,Hombres,1716,853,174,689
MORONA SANTIAGO,Limón Indanza,Rural,Mujeres,1848,477,69,1302
MORONA SANTIAGO,Palora,Urbana,Hombres,1961,1511,117,333
MORONA SANTIAGO,Palora,Urbana,Mujeres,2133,1178,165,790
MORONA SANTIAGO,Palora,Rural,Hombres,1977,1236,209,532
MORONA SANTIAGO,Palora,Rural,Mujeres,1905,550,92,1263
MORONA SANTIAGO,Santiago,Urbana,Hombres,823,525,54,244
MORONA SANTIAGO,Santiago,Urbana,Mujeres,936,488,63,385
MORONA SANTIAGO,Santiago,Rural,Hombres,2414,1058,430,926
MORONA SANTIAGO,Santiago,Rural,Mujeres,2453,631,176,1646
MORONA SANTIAGO,Sucúa,Urbana,Hombres,3477,2240,285,952
MORONA SANTIAGO,Sucúa,Urbana,Mujeres,4190,2087,304,1799
MORONA SANTIAGO,Sucúa,Rural,Hombres,3868,1630,728,1510
MORONA SANTIAGO,Sucúa,Rural,Mujeres,4160,841,272,3047
MORONA SANTIAGO,Huamboya,Urbana,Hombres,401,259,58,84
MORONA SANTIAGO,Huamboya,Urbana,Mujeres,486,235,55,196
MORONA SANTIAGO,Huamboya,Rural,Hombres,2655,708,482,1465
MORONA SANTIAGO,Huamboya,Rural,Mujeres,2753,355,166,2232
MORONA SANTIAGO,San Juan Bosco,Urbana,Hombres,514,345,46,123
MORONA SANTIAGO,San Juan Bosco,Urbana,Mujeres,617,318,32,267
MORONA SANTIAGO,San Juan Bosco,Rural,Hombres,852,328,119,405
MORONA SANTIAGO,San Juan Bosco,Rural,Mujeres,848,195,60,593
MORONA SANTIAGO,Taisha,Urbana,Hombres,544,313,55,176
MORONA SANTIAGO,Taisha,Urbana,Mujeres,648,224,55,369
MORONA SANTIAGO,Taisha,Rural,Hombres,6225,931,954,4340
MORONA SANTIAGO,Taisha,Rural,Mujeres,6302,362,354,5586
MORONA SANTIAGO,Logroño,Urbana,Hombres,454,235,25,194
MORONA SANTIAGO,Logroño,Urbana,Mujeres,528,181,16,331
MORONA SANTIAGO,Logroño,Rural,Hombres,1731,424,620,687
MORONA SANTIAGO,Logroño,Rural,Mujeres,1734,160,120,1454
MORONA SANTIAGO,Pablo Sexto,Urbana,Hombres,353,201,26,126
MORONA SANTIAGO,Pablo Sexto,Urbana,Mujeres,382,163,9,210
MORONA SANTIAGO,Pablo Sexto,Rural,Hombres,351,93,110,148
MORONA SANTIAGO,Pablo Sexto,Rural,Mujeres,368,36,13,319
MORONA SANTIAGO,Tiwintza,Urbana,Hombres,366,233,42,91
MORONA SANTIAGO,Tiwintza,Urbana,Mujeres,381,167,20,194
MORONA SANTIAGO,Tiwintza,Rural,Hombres,2238,609,373,1256
MORONA SANTIAGO,Tiwintza,Rural,Mujeres,2177,377,79,1721
NAPO,Tena,Urbana,Hombres,10122,6556,921,2645
NAPO,Tena,Urbana,Mujeres,11474,6042,1002,4430
NAPO,Tena,Rural,Hombres,16529,7183,3148,6198
NAPO,Tena,Rural,Mujeres,15929,4638,1430,9861
NAPO,Archidona,Urbana,Hombres,2378,1331,341,706
NAPO,Archidona,Urbana,Mujeres,2813,1360,265,1188
NAPO,Archidona,Rural,Hombres,7754,2809,1484,3461
NAPO,Archidona,Rural,Mujeres,7323,1738,495,5090
NAPO,El Chaco,Urbana,Hombres,1571,1100,167,304
NAPO,El Chaco,Urbana,Mujeres,1677,786,196,695
NAPO,El Chaco,Rural,Hombres,1834,1169,222,443
NAPO,El Chaco,Rural,Mujeres,1809,827,195,787
NAPO,Quijos,Urbana,Hombres,705,476,28,201
NAPO,Quijos,Urbana,Mujeres,788,415,33,340
NAPO,Quijos,Rural,Hombres,1667,1125,176,366
NAPO,Quijos,Rural,Mujeres,1703,859,182,662
NAPO,Carlos Julio Arosemena Tola,Urbana,Hombres,446,292,33,121
NAPO,Carlos Julio Arosemena Tola,Urbana,Mujeres,465,246,24,195
NAPO,Carlos Julio Arosemena Tola,Rural,Hombres,1161,652,139,370
NAPO,Carlos Julio Arosemena Tola,Rural,Mujeres,1106,416,58,632
PASTAZA,Pastaza,Urbana,Hombres,11722,7835,850,3037
PASTAZA,Pastaza,Urbana,Mujeres,13004,6981,1060,4963
PASTAZA,Pastaza,Rural,Hombres,15133,7951,1549,5633
PASTAZA,Pastaza,Rural,Mujeres,16009,5776,1046,9187
PASTAZA,Mera,Urbana,Hombres,323,198,29,96
PASTAZA,Mera,Urbana,Mujeres,348,165,48,135
PASTAZA,Mera,Rural,Hombres,4606,2729,628,1249
PASTAZA,Mera,Rural,Mujeres,5001,1953,594,2454
PASTAZA,Santa Clara,Urbana,Hombres,658,391,83,184
PASTAZA,Santa Clara,Urbana,Mujeres,626,253,40,333
PASTAZA,Santa Clara,Rural,Hombres,997,630,62,305
PASTAZA,Santa Clara,Rural,Mujeres,929,432,36,461
PASTAZA,Arajuno,Urbana,Hombres,757,356,122,279
PASTAZA,Arajuno,Urbana,Mujeres,746,241,78,427
PASTAZA,Arajuno,Rural,Hombres,2090,505,348,1237
PASTAZA,Arajuno,Rural,Mujeres,1922,229,114,1579
PICHINCHA,Distrito Metropolitano de Quito,Urbana,Hombres,661084,445760,47901,167423
PICHINCHA,Distrito Metropolitano de Quito,Urbana,Mujeres,736735,400665,59501,276569
PICHINCHA,Distrito Metropolitano de Quito,Rural,Hombres,340046,233895,22283,83868
PICHINCHA,Distrito Metropolitano de Quito,Rural,Mujeres,372326,199225,28805,144296
PICHINCHA,Cayambe,Urbana,Hombres,16156,11682,760,3714
PICHINCHA,Cayambe,Urbana,Mujeres,17714,10249,902,6563
PICHINCHA,Cayambe,Rural,Hombres,21297,14600,1219,5478
PICHINCHA,Cayambe,Rural,Mujeres,23680,11255,1191,11234
PICHINCHA,Mejía,Urbana,Hombres,8634,5990,576,2068
PICHINCHA,Mejía,Urbana,Mujeres,9876,5193,771,3912
PICHINCHA,Mejía,Rural,Hombres,27271,17819,1998,7454
PICHINCHA,Mejía,Rural,Mujeres,30685,13680,2883,14122
PICHINCHA,Pedro Moncayo,Urbana,Hombres,4519,3506,203,810
PICHINCHA,Pedro Moncayo,Urbana,Mujeres,4874,2841,256,1777
PICHINCHA,Pedro Moncayo,Rural,Hombres,9817,6704,435,2678
PICHINCHA,Pedro Moncayo,Rural,Mujeres,10442,5558,418,4466
PICHINCHA,Rumiñahui,Urbana,Hombres,36882,24806,2071,10005
PICHINCHA,Rumiñahui,Urbana,Mujeres,40775,22546,2847,15382
PICHINCHA,Rumiñahui,Rural,Hombres,4216,2756,381,1079
PICHINCHA,Rumiñahui,Rural,Mujeres,4626,2015,467,2144
PICHINCHA,San Miguel de los Bancos,Urbana,Hombres,1838,1209,165,464
PICHINCHA,San Miguel de los Bancos,Urbana,Mujeres,2034,915,183,936
PICHINCHA,San Miguel de los Bancos,Rural,Hombres,3058,2071,207,780
PICHINCHA,San Miguel de los Bancos,Rural,Mujeres,2993,1084,157,1752
PICHINCHA,Pedro Vicente Maldonado,Urbana,Hombres,2415,1808,79,528
PICHINCHA,Pedro Vicente Maldonado,Urbana,Mujeres,2727,1256,152,1319
PICHINCHA,Pedro Vicente Maldonado,Rural,Hombres,2897,2219,118,560
PICHINCHA,Pedro Vicente Maldonado,Rural,Mujeres,2752,933,120,1699
PICHINCHA,Puerto Quito,Urbana,Hombres,1270,904,78,288
PICHINCHA,Puerto Quito,Urbana,Mujeres,1522,764,146,612
PICHINCHA,Puerto Quito,Rural,Hombres,7622,5129,724,1769
PICHINCHA,Puerto Quito,Rural,Mujeres,7485,2072,504,4909
TUNGURAHUA,Ambato,Urbana,Hombres,66180,44318,4077,17785
TUNGURAHUA,Ambato,Urbana,Mujeres,73940,41522,4681,27737
TUNGURAHUA,Ambato,Rural,Hombres,68917,46701,3544,18672
TUNGURAHUA,Ambato,Rural,Mujeres,76792,40259,3867,32666
TUNGURAHUA,Baños de Agua Santa,Urbana,Hombres,5213,3693,204,1316
TUNGURAHUA,Baños de Agua Santa,Urbana,Mujeres,5900,3474,277,2149
TUNGURAHUA,Baños de Agua Santa,Rural,Hombres,3116,2116,183,817
TUNGURAHUA,Baños de Agua Santa,Rural,Mujeres,3065,1555,144,1366
TUNGURAHUA,Cevallos,Urbana,Hombres,1374,979,41,354
TUNGURAHUA,Cevallos,Urbana,Mujeres,1505,806,47,652
TUNGURAHUA,Cevallos,Rural,Hombres,2462,1673,158,631
TUNGURAHUA,Cevallos,Rural,Mujeres,2692,1261,89,1342
TUNGURAHUA,Mocha,Urbana,Hombres,559,370,48,141
TUNGURAHUA,Mocha,Urbana,Mujeres,604,234,59,311
TUNGURAHUA,Mocha,Rural,Hombres,2230,1516,146,568
TUNGURAHUA,Mocha,Rural,Mujeres,2309,1136,121,1052
TUNGURAHUA,Patate,Urbana,Hombres,983,660,34,289
TUNGURAHUA,Patate,Urbana,Mujeres,1033,614,43,376
TUNGURAHUA,Patate,Rural,Hombres,4181,2574,431,1176
TUNGURAHUA,Patate,Rural,Mujeres,4453,1997,295,2161
TUNGURAHUA,Quero,Urbana,Hombres,1200,813,49,338
TUNGURAHUA,Quero,Urbana,Mujeres,1323,682,66,575
TUNGURAHUA,Quero,Rural,Hombres,5802,4215,244,1343
TUNGURAHUA,Quero,Rural,Mujeres,6228,2995,245,2988
TUNGURAHUA,San Pedro de Pelileo,Urbana,Hombres,4127,2889,178,1060
TUNGURAHUA,San Pedro de Pelileo,Urbana,Mujeres,4662,2757,203,1702
TUNGURAHUA,San Pedro de Pelileo,Rural,Hombres,18680,12568,1116,4996
TUNGURAHUA,San Pedro de Pelileo,Rural,Mujeres,21077,10371,1057,9649
TUNGURAHUA,Santiago de Píllaro,Urbana,Hombres,3592,2419,180,993
TUNGURAHUA,Santiago de Píllaro,Urbana,Mujeres,3928,2218,196,1514
TUNGURAHUA,Santiago de Píllaro,Rural,Hombres,11850,6898,1386,3566
TUNGURAHUA,Santiago de Píllaro,Rural,Mujeres,13533,5234,1592,6707
TUNGURAHUA,Tisaleo,Urbana,Hombres,581,433,17,131
TUNGURAHUA,Tisaleo,Urbana,Mujeres,616,347,21,248
TUNGURAHUA,Tisaleo,Rural,Hombres,4608,3440,181,987
TUNGURAHUA,Tisaleo,Rural,Mujeres,4986,2839,173,1974
ZAMORA CHINCHIPE,Zamora,Urbana,Hombres,6270,4239,372,1659
ZAMORA CHINCHIPE,Zamora,Urbana,Mujeres,6628,3557,471,2600
ZAMORA CHINCHIPE,Zamora,Rural,Hombres,4520,2672,545,1303
ZAMORA CHINCHIPE,Zamora,Rural,Mujeres,4611,1503,354,2754
ZAMORA CHINCHIPE,Chinchipe,Urbana,Hombres,1493,848,180,465
ZAMORA CHINCHIPE,Chinchipe,Urbana,Mujeres,1500,744,114,642
ZAMORA CHINCHIPE,Chinchipe,Rural,Hombres,2308,1025,456,827
ZAMORA CHINCHIPE,Chinchipe,Rural,Mujeres,2026,539,163,1324
ZAMORA CHINCHIPE,Nangaritza,Urbana,Hombres,824,514,90,220
ZAMORA CHINCHIPE,Nangaritza,Urbana,Mujeres,907,403,99,405
ZAMORA CHINCHIPE,Nangaritza,Rural,Hombres,1265,468,415,382
ZAMORA CHINCHIPE,Nangaritza,Rural,Mujeres,1210,236,138,836
ZAMORA CHINCHIPE,Yacuambi,Urbana,Hombres,527,323,43,161
ZAMORA CHINCHIPE,Yacuambi,Urbana,Mujeres,585,258,38,289
ZAMORA CHINCHIPE,Yacuambi,Rural,Hombres,1566,638,192,736
ZAMORA CHINCHIPE,Yacuambi,Rural,Mujeres,1642,296,78,1268
ZAMORA CHINCHIPE,Yantzaza,Urbana,Hombres,4401,3006,425,970
ZAMORA CHINCHIPE,Yantzaza,Urbana,Mujeres,4905,2375,447,2083
ZAMORA CHINCHIPE,Yantzaza,Rural,Hombres,3482,1989,349,1144
ZAMORA CHINCHIPE,Yantzaza,Rural,Mujeres,3478,1121,157,2200
ZAMORA CHINCHIPE,El Pangui,Urbana,Hombres,1747,1223,133,391
ZAMORA CHINCHIPE,El Pangui,Urbana,Mujeres,1950,943,111,896
ZAMORA CHINCHIPE,El Pangui,Rural,Hombres,2468,1383,402,683
ZAMORA CHINCHIPE,El Pangui,Rural,Mujeres,2463,773,189,1501
ZAMORA CHINCHIPE,Centinela del Cóndor,Urbana,Hombres,1047,702,80,265
ZAMORA CHINCHIPE,Centinela del Cóndor,Urbana,Mujeres,1099,499,94,506
ZAMORA CHINCHIPE,Centinela del Cóndor,Rural,Hombres,1799,1139,232,428
ZAMORA CHINCHIPE,Centinela del Cóndor,Rural,Mujeres,1701,518,109,1074
ZAMORA CHINCHIPE,Palanda,Urbana,Hombres,789,497,51,241
ZAMORA CHINCHIPE,Palanda,Urbana,Mujeres,862,394,62,406
ZAMORA CHINCHIPE,Palanda,Rural,Hombres,2384,1329,336,719
ZAMORA CHINCHIPE,Palanda,Rural,Mujeres,2179,575,95,1509
ZAMORA CHINCHIPE,Paquisha,Urbana,Hombres,543,347,54,142
ZAMORA CHINCHIPE,Paquisha,Urbana,Mujeres,561,257,41,263
ZAMORA CHINCHIPE,Paquisha,Rural,Hombres,1101,659,187,255
ZAMORA CHINCHIPE,Paquisha,Rural,Mujeres,1028,305,118,605
GALAPAGOS,San Cristóbal,Urbana,Hombres,2752,2098,152,502
GALAPAGOS,San Cristóbal,Urbana,Mujeres,2824,1759,182,883
GALAPAGOS,San Cristóbal,Rural,Hombres,408,309,23,76
GALAPAGOS,San Cristóbal,Rural,Mujeres,357,193,41,123
GALAPAGOS,Isabela,Urbana,Hombres,1015,846,34,135
GALAPAGOS,Isabela,Urbana,Mujeres,1027,686,62,279
GALAPAGOS,Isabela,Rural,Hombres,137,96,13,28
GALAPAGOS,Isabela,Rural,Mujeres,97,37,13,47
GALAPAGOS,Santa Cruz,Urbana,Hombres,4777,3839,214,724
GALAPAGOS,Santa Cruz,Urbana,Mujeres,4897,3230,352,1315
GALAPAGOS,Santa Cruz,Rural,Hombres,1760,1362,68,330
GALAPAGOS,Santa Cruz,Rural,Mujeres,1662,897,97,668
SUCUMBIOS,Lago Agrio,Urbana,Hombres,19050,13062,1770,4218
SUCUMBIOS,Lago Agrio,Urbana,Mujeres,21173,10038,2028,9107
SUCUMBIOS,Lago Agrio,Rural,Hombres,17739,10031,2910,4798
SUCUMBIOS,Lago Agrio,Rural,Mujeres,16536,4678,1328,10530
SUCUMBIOS,Gonzalo Pizarro,Urbana,Hombres,742,472,114,156
SUCUMBIOS,Gonzalo Pizarro,Urbana,Mujeres,779,346,64,369
SUCUMBIOS,Gonzalo Pizarro,Rural,Hombres,2803,1374,586,843
SUCUMBIOS,Gonzalo Pizarro,Rural,Mujeres,2746,845,196,1705
SUCUMBIOS,Putumayo,Urbana,Hombres,634,390,94,150
SUCUMBIOS,Putumayo,Urbana,Mujeres,720,309,60,351
SUCUMBIOS,Putumayo,Rural,Hombres,2486,1271,413,802
SUCUMBIOS,Putumayo,Rural,Mujeres,2246,513,205,1528
SUCUMBIOS,Shushufindi,Urbana,Hombres,5646,3842,676,1128
SUCUMBIOS,Shushufindi,Urbana,Mujeres,5998,2471,773,2754
SUCUMBIOS,Shushufindi,Rural,Hombres,12198,6366,2435,3397
SUCUMBIOS,Shushufindi,Rural,Mujeres,11411,2321,1284,7806
SUCUMBIOS,Sucumbíos,Urbana,Hombres,257,172,24,61
SUCUMBIOS,Sucumbíos,Urbana,Mujeres,285,123,22,140
SUCUMBIOS,Sucumbíos,Rural,Hombres,982,635,70,277
SUCUMBIOS,Sucumbíos,Rural,Mujeres,909,278,47,584
SUCUMBIOS,Cascales,Urbana,Hombres,865,562,78,225
SUCUMBIOS,Cascales,Urbana,Mujeres,943,398,55,490
SUCUMBIOS,Cascales,Rural,Hombres,3164,1857,343,964
SUCUMBIOS,Cascales,Rural,Mujeres,2944,754,147,2043
SUCUMBIOS,Cuyabeno,Urbana,Hombres,660,418,94,148
SUCUMBIOS,Cuyabeno,Urbana,Mujeres,600,302,47,251
SUCUMBIOS,Cuyabeno,Rural,Hombres,2476,1212,340,924
SUCUMBIOS,Cuyabeno,Rural,Mujeres,2257,554,123,1580
ORELLANA,Francisco de Orellana,Urbana,Hombres,17484,11384,2472,3628
ORELLANA,Francisco de Orellana,Urbana,Mujeres,18429,7947,2321,8161
ORELLANA,Francisco de Orellana,Rural,Hombres,14413,6748,2936,4729
ORELLANA,Francisco de Orellana,Rural,Mujeres,13077,2607,1262,9208
ORELLANA,Aguarico,Urbana,Hombres,234,126,44,64
ORELLANA,Aguarico,Urbana,Mujeres,236,98,28,110
ORELLANA,Aguarico,Rural,Hombres,1926,681,291,954
ORELLANA,Aguarico,Rural,Mujeres,1797,230,109,1458
ORELLANA,La Joya de los Sachas,Urbana,Hombres,5536,4096,414,1026
ORELLANA,La Joya de los Sachas,Urbana,Mujeres,5831,2807,582,2442
ORELLANA,La Joya de los Sachas,Rural,Hombres,12655,8300,1237,3118
ORELLANA,La Joya de los Sachas,Rural,Mujeres,11988,3393,737,7858
ORELLANA,Loreto,Urbana,Hombres,1749,1112,232,405
ORELLANA,Loreto,Urbana,Mujeres,1887,764,161,962
ORELLANA,Loreto,Rural,Hombres,7024,2673,1300,3051
ORELLANA,Loreto,Rural,Mujeres,6436,1300,409,4727
SANTO DOMINGO DE LOS TSACHILAS,Santo Domingo,Urbana,Hombres,114060,74758,10751,28551
SANTO DOMINGO DE LOS TSACHILAS,Santo Domingo,Urbana,Mujeres,129521,52737,10965,65819
SANTO DOMINGO DE LOS TSACHILAS,Santo Domingo,Rural,Hombres,39676,26817,3106,9753
SANTO DOMINGO DE LOS TSACHILAS,Santo Domingo,Rural,Mujeres,38507,10868,2076,25563
SANTO DOMINGO DE LOS TSACHILAS,La Concordia,Urbana,Hombres,11481,6915,1271,3295
SANTO DOMINGO DE LOS TSACHILAS,La Concordia,Urbana,Mujeres,13184,4223,1367,7594
SANTO DOMINGO DE LOS TSACHILAS,La Concordia,Rural,Hombres,5520,3849,434,1237
SANTO DOMINGO DE LOS TSACHILAS,La Concordia,Rural,Mujeres,5500,1480,307,3713
SANTA ELENA,Santa Elena,Urbana,Hombres,18724,11517,2341,4866
SANTA ELENA,Santa Elena,Urbana,Mujeres,20561,6792,2204,11565
SANTA ELENA,Santa Elena,Rural,Hombres,46289,29605,5626,11058
SANTA ELENA,Santa Elena,Rural,Mujeres,45874,10903,2648,32323
SANTA ELENA,La Libertad,Urbana,Hombres,38299,23133,5373,9793
SANTA ELENA,La Libertad,Urbana,Mujeres,41707,12648,4213,24846
SANTA ELENA,La Libertad,Rural,Hombres,31,14,6,11
SANTA ELENA,La Libertad,Rural,Mujeres,28,6,4,18
SANTA ELENA,Salinas,Urbana,Hombres,12959,7467,1968,3524
SANTA ELENA,Salinas,Urbana,Mujeres,13199,3801,1195,8203
SANTA ELENA,Salinas,Rural,Hombres,17405,10451,2368,4586
SANTA ELENA,Salinas,Rural,Mujeres,18286,4782,1771,11733
