provincia,delitos_de_mayor_incidencia,fecha,denuncias
SANTA ELENA,Robo a personas,2020-08-01,37
SANTA ELENA,"Robo de bienes, accesorios y autopartes de vehículos",2020-08-01,6
SANTA ELENA,Robo de motos,2020-08-01,6
SANTA ELENA,Robo de carros,2020-08-01,4
SANTA ELENA,Robo a domicilio,2020-08-01,20
SANTA ELENA,Robo a unidades económicas,2020-08-01,6
NACIONAL,Robo a personas,2020-08-01,1586
NACIONAL,"Robo de bienes, accesorios y autopartes de vehículos",2020-08-01,552
NACIONAL,Robo de motos,2020-08-01,630
NACIONAL,Robo de carros,2020-08-01,372
NACIONAL,Robo a domicilio,2020-08-01,645
NACIONAL,Robo a unidades económicas,2020-08-01,337
AZUAY,Robo a personas,2020-09-01,40
AZUAY,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,46
AZUAY,Robo de motos,2020-09-01,10
AZUAY,Robo de carros,2020-09-01,4
AZUAY,Robo a domicilio,2020-09-01,40
AZUAY,Robo a unidades económicas,2020-09-01,14
BOLIVAR,Robo a personas,2020-09-01,1
BOLIVAR,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,1
BOLIVAR,Robo de motos,2020-09-01,1
BOLIVAR,Robo de carros,2020-09-01,1
BOLIVAR,Robo a domicilio,2020-09-01,7
BOLIVAR,Robo a unidades económicas,2020-09-01,0
CANAR,Robo a personas,2020-09-01,17
CANAR,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,3
CANAR,Robo de motos,2020-09-01,3
CANAR,Robo de carros,2020-09-01,1
CANAR,Robo a domicilio,2020-09-01,19
CANAR,Robo a unidades económicas,2020-09-01,2
CARCHI,Robo a personas,2020-09-01,3
CARCHI,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,1
CARCHI,Robo de motos,2020-09-01,2
CARCHI,Robo de carros,2020-09-01,0
CARCHI,Robo a domicilio,2020-09-01,2
CARCHI,Robo a unidades económicas,2020-09-01,1
COTOPAXI,Robo a personas,2020-09-01,12
COTOPAXI,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,13
COTOPAXI,Robo de motos,2020-09-01,5
COTOPAXI,Robo de carros,2020-09-01,9
COTOPAXI,Robo a domicilio,2020-09-01,12
COTOPAXI,Robo a unidades económicas,2020-09-01,8
CHIMBORAZO,Robo a personas,2020-09-01,31
CHIMBORAZO,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,15
CHIMBORAZO,Robo de motos,2020-09-01,3
CHIMBORAZO,Robo de carros,2020-09-01,12
CHIMBORAZO,Robo a domicilio,2020-09-01,10
CHIMBORAZO,Robo a unidades económicas,2020-09-01,5
EL ORO,Robo a personas,2020-09-01,87
EL ORO,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,8
EL ORO,Robo de motos,2020-09-01,37
EL ORO,Robo de carros,2020-09-01,10
EL ORO,Robo a domicilio,2020-09-01,31
EL ORO,Robo a unidades económicas,2020-09-01,15
ESMERALDAS,Robo a personas,2020-09-01,58
ESMERALDAS,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,4
ESMERALDAS,Robo de motos,2020-09-01,29
ESMERALDAS,Robo de carros,2020-09-01,10
ESMERALDAS,Robo a domicilio,2020-09-01,45
ESMERALDAS,Robo a unidades económicas,2020-09-01,5
GUAYAS,Robo a personas,2020-09-01,734
GUAYAS,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,177
GUAYAS,Robo de motos,2020-09-01,217
GUAYAS,Robo de carros,2020-09-01,194
GUAYAS,Robo a domicilio,2020-09-01,165
GUAYAS,Robo a unidades económicas,2020-09-01,67
IMBABURA,Robo a personas,2020-09-01,26
IMBABURA,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,9
IMBABURA,Robo de motos,2020-09-01,2
IMBABURA,Robo de carros,2020-09-01,2
IMBABURA,Robo a domicilio,2020-09-01,6
IMBABURA,Robo a unidades económicas,2020-09-01,6
LOJA,Robo a personas,2020-09-01,11
LOJA,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,6
LOJA,Robo de motos,2020-09-01,5
LOJA,Robo de carros,2020-09-01,1
LOJA,Robo a domicilio,2020-09-01,24
LOJA,Robo a unidades económicas,2020-09-01,4
LOS RIOS,Robo a personas,2020-09-01,131
LOS RIOS,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,12
LOS RIOS,Robo de motos,2020-09-01,112
LOS RIOS,Robo de carros,2020-09-01,29
LOS RIOS,Robo a domicilio,2020-09-01,25
LOS RIOS,Robo a unidades económicas,2020-09-01,9
MANABI,Robo a personas,2020-09-01,66
MANABI,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,18
MANABI,Robo de motos,2020-09-01,30
MANABI,Robo de carros,2020-09-01,22
MANABI,Robo a domicilio,2020-09-01,44
MANABI,Robo a unidades económicas,2020-09-01,26
MORONA SANTIAGO,Robo a personas,2020-09-01,2
MORONA SANTIAGO,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,1
MORONA SANTIAGO,Robo de motos,2020-09-01,4
MORONA SANTIAGO,Robo de carros,2020-09-01,2
MORONA SANTIAGO,Robo a domicilio,2020-09-01,14
MORONA SANTIAGO,Robo a unidades económicas,2020-09-01,2
NAPO,Robo a personas,2020-09-01,3
NAPO,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,0
NAPO,Robo de motos,2020-09-01,0
NAPO,Robo de carros,2020-09-01,0
NAPO,Robo a domicilio,2020-09-01,10
NAPO,Robo a unidades económicas,2020-09-01,3
PASTAZA,Robo a personas,2020-09-01,6
PASTAZA,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,1
PASTAZA,Robo de motos,2020-09-01,0
PASTAZA,Robo de carros,2020-09-01,1
PASTAZA,Robo a domicilio,2020-09-01,11
PASTAZA,Robo a unidades económicas,2020-09-01,1
PICHINCHA,Robo a personas,2020-09-01,412
PICHINCHA,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,223
PICHINCHA,Robo de motos,2020-09-01,94
PICHINCHA,Robo de carros,2020-09-01,114
PICHINCHA,Robo a domicilio,2020-09-01,153
PICHINCHA,Robo a unidades económicas,2020-09-01,143
TUNGURAHUA,Robo a personas,2020-09-01,25
TUNGURAHUA,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,35
TUNGURAHUA,Robo de motos,2020-09-01,8
TUNGURAHUA,Robo de carros,2020-09-01,2
TUNGURAHUA,Robo a domicilio,2020-09-01,17
TUNGURAHUA,Robo a unidades económicas,2020-09-01,14
ZAMORA CHINCHIPE,Robo a personas,2020-09-01,4
ZAMORA CHINCHIPE,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,2
ZAMORA CHINCHIPE,Robo de motos,2020-09-01,1
ZAMORA CHINCHIPE,Robo de carros,2020-09-01,0
ZAMORA CHINCHIPE,Robo a domicilio,2020-09-01,2
ZAMORA CHINCHIPE,Robo a unidades económicas,2020-09-01,1
GALAPAGOS,Robo a personas,2020-09-01,1
GALAPAGOS,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,0
GALAPAGOS,Robo de motos,2020-09-01,0
GALAPAGOS,Robo de carros,2020-09-01,0
GALAPAGOS,Robo a domicilio,2020-09-01,3
GALAPAGOS,Robo a unidades económicas,2020-09-01,0
SUCUMBIOS,Robo a personas,2020-09-01,12
SUCUMBIOS,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,0
SUCUMBIOS,Robo de motos,2020-09-01,2
SUCUMBIOS,Robo de carros,2020-09-01,0
SUCUMBIOS,Robo a domicilio,2020-09-01,17
SUCUMBIOS,Robo a unidades económicas,2020-09-01,6
ORELLANA,Robo a personas,2020-09-01,9
ORELLANA,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,1
ORELLANA,Robo de motos,2020-09-01,13
ORELLANA,Robo de carros,2020-09-01,0
ORELLANA,Robo a domicilio,2020-09-01,7
ORELLANA,Robo a unidades económicas,2020-09-01,6
SANTO DOMINGO DE LOS TSACHILAS,Robo a personas,2020-09-01,45
SANTO DOMINGO DE LOS TSACHILAS,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,7
SANTO DOMINGO DE LOS TSACHILAS,Robo de motos,2020-09-01,39
SANTO DOMINGO DE LOS TSACHILAS,Robo de carros,2020-09-01,28
SANTO DOMINGO DE LOS TSACHILAS,Robo a domicilio,2020-09-01,19
SANTO DOMINGO DE LOS TSACHILAS,Robo a unidades económicas,2020-09-01,16
SANTA ELENA,Robo a personas,2020-09-01,29
SANTA ELENA,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,6
SANTA ELENA,Robo de motos,2020-09-01,2
SANTA ELENA,Robo de carros,2020-09-01,4
SANTA ELENA,Robo a domicilio,2020-09-01,20
SANTA ELENA,Robo a unidades económicas,2020-09-01,5
NACIONAL,Robo a personas,2020-09-01,1765
NACIONAL,"Robo de bienes, accesorios y autopartes de vehículos",2020-09-01,589
NACIONAL,Robo de motos,2020-09-01,619
NACIONAL,Robo de carros,2020-09-01,446
NACIONAL,Robo a domicilio,2020-09-01,703
NACIONAL,Robo a unidades económicas,2020-09-01,359
AZUAY,Robo a personas,2020-10-01,42
AZUAY,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,68
AZUAY,Robo de motos,2020-10-01,17
AZUAY,Robo de carros,2020-10-01,8
AZUAY,Robo a domicilio,2020-10-01,47
AZUAY,Robo a unidades económicas,2020-10-01,10
BOLIVAR,Robo a personas,2020-10-01,6
BOLIVAR,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,0
BOLIVAR,Robo de motos,2020-10-01,4
BOLIVAR,Robo de carros,2020-10-01,4
BOLIVAR,Robo a domicilio,2020-10-01,2
BOLIVAR,Robo a unidades económicas,2020-10-01,0
CANAR,Robo a personas,2020-10-01,8
CANAR,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,7
CANAR,Robo de motos,2020-10-01,4
CANAR,Robo de carros,2020-10-01,2
CANAR,Robo a domicilio,2020-10-01,16
CANAR,Robo a unidades económicas,2020-10-01,4
CARCHI,Robo a personas,2020-10-01,11
CARCHI,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,1
CARCHI,Robo de motos,2020-10-01,1
CARCHI,Robo de carros,2020-10-01,2
CARCHI,Robo a domicilio,2020-10-01,2
CARCHI,Robo a unidades económicas,2020-10-01,1
COTOPAXI,Robo a personas,2020-10-01,18
COTOPAXI,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,9
COTOPAXI,Robo de motos,2020-10-01,7
COTOPAXI,Robo de carros,2020-10-01,9
COTOPAXI,Robo a domicilio,2020-10-01,21
COTOPAXI,Robo a unidades económicas,2020-10-01,2
CHIMBORAZO,Robo a personas,2020-10-01,36
CHIMBORAZO,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,24
CHIMBORAZO,Robo de motos,2020-10-01,4
CHIMBORAZO,Robo de carros,2020-10-01,3
CHIMBORAZO,Robo a domicilio,2020-10-01,24
CHIMBORAZO,Robo a unidades económicas,2020-10-01,2
EL ORO,Robo a personas,2020-10-01,98
EL ORO,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,4
EL ORO,Robo de motos,2020-10-01,57
EL ORO,Robo de carros,2020-10-01,21
EL ORO,Robo a domicilio,2020-10-01,35
EL ORO,Robo a unidades económicas,2020-10-01,13
ESMERALDAS,Robo a personas,2020-10-01,74
ESMERALDAS,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,7
ESMERALDAS,Robo de motos,2020-10-01,24
ESMERALDAS,Robo de carros,2020-10-01,2
ESMERALDAS,Robo a domicilio,2020-10-01,28
ESMERALDAS,Robo a unidades económicas,2020-10-01,7
GUAYAS,Robo a personas,2020-10-01,757
GUAYAS,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,192
GUAYAS,Robo de motos,2020-10-01,215
GUAYAS,Robo de carros,2020-10-01,201
GUAYAS,Robo a domicilio,2020-10-01,172
GUAYAS,Robo a unidades económicas,2020-10-01,76
IMBABURA,Robo a personas,2020-10-01,19
IMBABURA,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,11
IMBABURA,Robo de motos,2020-10-01,2
IMBABURA,Robo de carros,2020-10-01,2
IMBABURA,Robo a domicilio,2020-10-01,11
IMBABURA,Robo a unidades económicas,2020-10-01,8
LOJA,Robo a personas,2020-10-01,20
LOJA,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,9
LOJA,Robo de motos,2020-10-01,3
LOJA,Robo de carros,2020-10-01,0
LOJA,Robo a domicilio,2020-10-01,25
LOJA,Robo a unidades económicas,2020-10-01,6
LOS RIOS,Robo a personas,2020-10-01,122
LOS RIOS,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,11
LOS RIOS,Robo de motos,2020-10-01,91
LOS RIOS,Robo de carros,2020-10-01,17
LOS RIOS,Robo a domicilio,2020-10-01,31
LOS RIOS,Robo a unidades económicas,2020-10-01,12
MANABI,Robo a personas,2020-10-01,79
MANABI,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,14
MANABI,Robo de motos,2020-10-01,38
MANABI,Robo de carros,2020-10-01,30
MANABI,Robo a domicilio,2020-10-01,55
MANABI,Robo a unidades económicas,2020-10-01,35
MORONA SANTIAGO,Robo a personas,2020-10-01,4
MORONA SANTIAGO,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,0
MORONA SANTIAGO,Robo de motos,2020-10-01,4
MORONA SANTIAGO,Robo de carros,2020-10-01,0
MORONA SANTIAGO,Robo a domicilio,2020-10-01,8
MORONA SANTIAGO,Robo a unidades económicas,2020-10-01,1
NAPO,Robo a personas,2020-10-01,6
NAPO,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,2
NAPO,Robo de motos,2020-10-01,3
NAPO,Robo de carros,2020-10-01,2
NAPO,Robo a domicilio,2020-10-01,12
NAPO,Robo a unidades económicas,2020-10-01,2
PASTAZA,Robo a personas,2020-10-01,4
PASTAZA,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,0
PASTAZA,Robo de motos,2020-10-01,0
PASTAZA,Robo de carros,2020-10-01,0
PASTAZA,Robo a domicilio,2020-10-01,13
PASTAZA,Robo a unidades económicas,2020-10-01,2
PICHINCHA,Robo a personas,2020-10-01,519
PICHINCHA,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,232
PICHINCHA,Robo de motos,2020-10-01,112
PICHINCHA,Robo de carros,2020-10-01,159
PICHINCHA,Robo a domicilio,2020-10-01,172
PICHINCHA,Robo a unidades económicas,2020-10-01,157
TUNGURAHUA,Robo a personas,2020-10-01,42
TUNGURAHUA,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,34
TUNGURAHUA,Robo de motos,2020-10-01,4
TUNGURAHUA,Robo de carros,2020-10-01,6
TUNGURAHUA,Robo a domicilio,2020-10-01,19
TUNGURAHUA,Robo a unidades económicas,2020-10-01,2
ZAMORA CHINCHIPE,Robo a personas,2020-10-01,1
ZAMORA CHINCHIPE,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,0
ZAMORA CHINCHIPE,Robo de motos,2020-10-01,0
ZAMORA CHINCHIPE,Robo de carros,2020-10-01,0
ZAMORA CHINCHIPE,Robo a domicilio,2020-10-01,3
ZAMORA CHINCHIPE,Robo a unidades económicas,2020-10-01,0
GALAPAGOS,Robo a personas,2020-10-01,2
GALAPAGOS,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,0
GALAPAGOS,Robo de motos,2020-10-01,0
GALAPAGOS,Robo de carros,2020-10-01,0
GALAPAGOS,Robo a domicilio,2020-10-01,1
GALAPAGOS,Robo a unidades económicas,2020-10-01,2
SUCUMBIOS,Robo a personas,2020-10-01,20
SUCUMBIOS,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,8
SUCUMBIOS,Robo de motos,2020-10-01,4
SUCUMBIOS,Robo de carros,2020-10-01,0
SUCUMBIOS,Robo a domicilio,2020-10-01,14
SUCUMBIOS,Robo a unidades económicas,2020-10-01,4
ORELLANA,Robo a personas,2020-10-01,7
ORELLANA,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,1
ORELLANA,Robo de motos,2020-10-01,5
ORELLANA,Robo de carros,2020-10-01,2
ORELLANA,Robo a domicilio,2020-10-01,6
ORELLANA,Robo a unidades económicas,2020-10-01,8
SANTO DOMINGO DE LOS TSACHILAS,Robo a personas,2020-10-01,48
SANTO DOMINGO DE LOS TSACHILAS,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,11
SANTO DOMINGO DE LOS TSACHILAS,Robo de motos,2020-10-01,34
SANTO DOMINGO DE LOS TSACHILAS,Robo de carros,2020-10-01,41
SANTO DOMINGO DE LOS TSACHILAS,Robo a domicilio,2020-10-01,22
SANTO DOMINGO DE LOS TSACHILAS,Robo a unidades económicas,2020-10-01,17
SANTA ELENA,Robo a personas,2020-10-01,34
SANTA ELENA,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,6
SANTA ELENA,Robo de motos,2020-10-01,5
SANTA ELENA,Robo de carros,2020-10-01,4
SANTA ELENA,Robo a domicilio,2020-10-01,17
SANTA ELENA,Robo a unidades económicas,2020-10-01,6
NACIONAL,Robo a personas,2020-10-01,1977
NACIONAL,"Robo de bienes, accesorios y autopartes de vehículos",2020-10-01,651
NACIONAL,Robo de motos,2020-10-01,638
NACIONAL,Robo de carros,2020-10-01,515
NACIONAL,Robo a domicilio,2020-10-01,756
NACIONAL,Robo a unidades económicas,2020-10-01,377
AZUAY,Robo a personas,2020-11-01,58
AZUAY,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,51
AZUAY,Robo de motos,2020-11-01,16
AZUAY,Robo de carros,2020-11-01,4
AZUAY,Robo a domicilio,2020-11-01,32
AZUAY,Robo a unidades económicas,2020-11-01,13
BOLIVAR,Robo a personas,2020-11-01,5
BOLIVAR,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,1
BOLIVAR,Robo de motos,2020-11-01,3
BOLIVAR,Robo de carros,2020-11-01,2
BOLIVAR,Robo a domicilio,2020-11-01,3
BOLIVAR,Robo a unidades económicas,2020-11-01,0
CANAR,Robo a personas,2020-11-01,19
CANAR,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,10
CANAR,Robo de motos,2020-11-01,5
CANAR,Robo de carros,2020-11-01,0
CANAR,Robo a domicilio,2020-11-01,19
CANAR,Robo a unidades económicas,2020-11-01,3
CARCHI,Robo a personas,2020-11-01,6
CARCHI,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,1
CARCHI,Robo de motos,2020-11-01,0
CARCHI,Robo de carros,2020-11-01,2
CARCHI,Robo a domicilio,2020-11-01,2
CARCHI,Robo a unidades económicas,2020-11-01,2
COTOPAXI,Robo a personas,2020-11-01,20
COTOPAXI,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,10
COTOPAXI,Robo de motos,2020-11-01,2
COTOPAXI,Robo de carros,2020-11-01,11
COTOPAXI,Robo a domicilio,2020-11-01,17
COTOPAXI,Robo a unidades económicas,2020-11-01,4
CHIMBORAZO,Robo a personas,2020-11-01,44
CHIMBORAZO,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,25
CHIMBORAZO,Robo de motos,2020-11-01,9
CHIMBORAZO,Robo de carros,2020-11-01,4
CHIMBORAZO,Robo a domicilio,2020-11-01,28
CHIMBORAZO,Robo a unidades económicas,2020-11-01,9
EL ORO,Robo a personas,2020-11-01,92
EL ORO,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,16
EL ORO,Robo de motos,2020-11-01,55
EL ORO,Robo de carros,2020-11-01,12
EL ORO,Robo a domicilio,2020-11-01,32
EL ORO,Robo a unidades económicas,2020-11-01,23
ESMERALDAS,Robo a personas,2020-11-01,62
ESMERALDAS,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,3
ESMERALDAS,Robo de motos,2020-11-01,17
ESMERALDAS,Robo de carros,2020-11-01,5
ESMERALDAS,Robo a domicilio,2020-11-01,38
ESMERALDAS,Robo a unidades económicas,2020-11-01,8
GUAYAS,Robo a personas,2020-11-01,706
GUAYAS,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,189
GUAYAS,Robo de motos,2020-11-01,200
GUAYAS,Robo de carros,2020-11-01,200
GUAYAS,Robo a domicilio,2020-11-01,151
GUAYAS,Robo a unidades económicas,2020-11-01,93
IMBABURA,Robo a personas,2020-11-01,31
IMBABURA,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,11
IMBABURA,Robo de motos,2020-11-01,2
IMBABURA,Robo de carros,2020-11-01,0
IMBABURA,Robo a domicilio,2020-11-01,24
IMBABURA,Robo a unidades económicas,2020-11-01,9
LOJA,Robo a personas,2020-11-01,18
LOJA,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,7
LOJA,Robo de motos,2020-11-01,1
LOJA,Robo de carros,2020-11-01,1
LOJA,Robo a domicilio,2020-11-01,21
LOJA,Robo a unidades económicas,2020-11-01,2
LOS RIOS,Robo a personas,2020-11-01,123
LOS RIOS,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,6
LOS RIOS,Robo de motos,2020-11-01,80
LOS RIOS,Robo de carros,2020-11-01,34
LOS RIOS,Robo a domicilio,2020-11-01,31
LOS RIOS,Robo a unidades económicas,2020-11-01,15
MANABI,Robo a personas,2020-11-01,76
MANABI,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,9
MANABI,Robo de motos,2020-11-01,34
MANABI,Robo de carros,2020-11-01,29
MANABI,Robo a domicilio,2020-11-01,52
MANABI,Robo a unidades económicas,2020-11-01,28
MORONA SANTIAGO,Robo a personas,2020-11-01,5
MORONA SANTIAGO,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,1
MORONA SANTIAGO,Robo de motos,2020-11-01,0
MORONA SANTIAGO,Robo de carros,2020-11-01,1
MORONA SANTIAGO,Robo a domicilio,2020-11-01,17
MORONA SANTIAGO,Robo a unidades económicas,2020-11-01,1
NAPO,Robo a personas,2020-11-01,6
NAPO,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,1
NAPO,Robo de motos,2020-11-01,0
NAPO,Robo de carros,2020-11-01,2
NAPO,Robo a domicilio,2020-11-01,12
NAPO,Robo a unidades económicas,2020-11-01,1
PASTAZA,Robo a personas,2020-11-01,9
PASTAZA,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,2
PASTAZA,Robo de motos,2020-11-01,0
PASTAZA,Robo de carros,2020-11-01,1
PASTAZA,Robo a domicilio,2020-11-01,11
PASTAZA,Robo a unidades económicas,2020-11-01,1
PICHINCHA,Robo a personas,2020-11-01,519
PICHINCHA,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,206
PICHINCHA,Robo de motos,2020-11-01,116
PICHINCHA,Robo de carros,2020-11-01,146
PICHINCHA,Robo a domicilio,2020-11-01,146
PICHINCHA,Robo a unidades económicas,2020-11-01,139
TUNGURAHUA,Robo a personas,2020-11-01,35
TUNGURAHUA,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,43
TUNGURAHUA,Robo de motos,2020-11-01,3
TUNGURAHUA,Robo de carros,2020-11-01,4
TUNGURAHUA,Robo a domicilio,2020-11-01,18
TUNGURAHUA,Robo a unidades económicas,2020-11-01,8
ZAMORA CHINCHIPE,Robo a personas,2020-11-01,1
ZAMORA CHINCHIPE,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,1
ZAMORA CHINCHIPE,Robo de motos,2020-11-01,1
ZAMORA CHINCHIPE,Robo de carros,2020-11-01,0
ZAMORA CHINCHIPE,Robo a domicilio,2020-11-01,4
ZAMORA CHINCHIPE,Robo a unidades económicas,2020-11-01,1
GALAPAGOS,Robo a personas,2020-11-01,0
GALAPAGOS,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,0
GALAPAGOS,Robo de motos,2020-11-01,0
GALAPAGOS,Robo de carros,2020-11-01,0
GALAPAGOS,Robo a domicilio,2020-11-01,0
GALAPAGOS,Robo a unidades económicas,2020-11-01,0
SUCUMBIOS,Robo a personas,2020-11-01,11
SUCUMBIOS,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,4
SUCUMBIOS,Robo de motos,2020-11-01,5
SUCUMBIOS,Robo de carros,2020-11-01,0
SUCUMBIOS,Robo a domicilio,2020-11-01,9
SUCUMBIOS,Robo a unidades económicas,2020-11-01,7
ORELLANA,Robo a personas,2020-11-01,14
ORELLANA,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,1
ORELLANA,Robo de motos,2020-11-01,19
ORELLANA,Robo de carros,2020-11-01,0
ORELLANA,Robo a domicilio,2020-11-01,8
ORELLANA,Robo a unidades económicas,2020-11-01,4
SANTO DOMINGO DE LOS TSACHILAS,Robo a personas,2020-11-01,64
SANTO DOMINGO DE LOS TSACHILAS,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,5
SANTO DOMINGO DE LOS TSACHILAS,Robo de motos,2020-11-01,26
SANTO DOMINGO DE LOS TSACHILAS,Robo de carros,2020-11-01,45
SANTO DOMINGO DE LOS TSACHILAS,Robo a domicilio,2020-11-01,19
SANTO DOMINGO DE LOS TSACHILAS,Robo a unidades económicas,2020-11-01,17
SANTA ELENA,Robo a personas,2020-11-01,32
SANTA ELENA,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,7
SANTA ELENA,Robo de motos,2020-11-01,5
SANTA ELENA,Robo de carros,2020-11-01,3
SANTA ELENA,Robo a domicilio,2020-11-01,25
SANTA ELENA,Robo a unidades económicas,2020-11-01,2
NACIONAL,Robo a personas,2020-11-01,1956
NACIONAL,"Robo de bienes, accesorios y autopartes de vehículos",2020-11-01,610
NACIONAL,Robo de motos,2020-11-01,599
NACIONAL,Robo de carros,2020-11-01,506
NACIONAL,Robo a domicilio,2020-11-01,719
NACIONAL,Robo a unidades económicas,2020-11-01,390
AZUAY,Robo a personas,2020-12-01,47
AZUAY,"Robo de bienes, accesorios y autopartes de vehículos",2020-12-01,53
AZUAY,Robo de motos,2020-12-01,18
AZUAY,Robo de carros,2020-12-01,4
AZUAY,Robo a domicilio,2020-12-01,55
AZUAY,Robo a unidades económicas,2020-12-01,9
BOLIVAR,Robo a personas,2020-12-01,2
BOLIVAR,"Robo de bienes, accesorios y autopartes de vehículos",2020-12-01,1
BOLIVAR,Robo de motos,2020-12-01,0
BOLIVAR,Robo de carros,2020-12-01,0
BOLIVAR,Robo a domicilio,2020-12-01,5
BOLIVAR,Robo a unidades económicas,2020-12-01,0
CANAR,Robo a personas,2020-12-01,27
CANAR,"Robo de bienes, accesorios y autopartes de vehículos",2020-12-01,10
CANAR,Robo de motos,2020-12-01,4
CANAR,Robo de carros,2020-12-01,3
CANAR,Robo a domicilio,2020-12-01,10
CANAR,Robo a unidades económicas,2020-12-01,3
CARCHI,Robo a personas,2020-12-01,7
CARCHI,"Robo de bienes, accesorios y autopartes de vehículos",2020-12-01,1
CARCHI,Robo de motos,2020-12-01,0
CARCHI,Robo de carros,2020-12-01,1
CARCHI,Robo a domicilio,2020-12-01,0
CARCHI,Robo a unidades económicas,2020-12-01,2
COTOPAXI,Robo a personas,2020-12-01,12
COTOPAXI,"Robo de bienes, accesorios y autopartes de vehículos",2020-12-01,9
COTOPAXI,Robo de motos,2020-12-01,4
COTOPAXI,Robo de carros,2020-12-01,2
COTOPAXI,Robo a domicilio,2020-12-01,7
COTOPAXI,Robo a unidades económicas,2020-12-01,6
CHIMBORAZO,Robo a personas,2020-12-01,34
CHIMBORAZO,"Robo de bienes, accesorios y autopartes de vehículos",2020-12-01,18
CHIMBORAZO,Robo de motos,2020-12-01,4
