provincia,cantón,área_de_residencia,número_total_de_hogares,no_pobres,pobre_solo_por_dependencia_económica,pobre_solo_por_no_asistencia_a_clases_de_niños_en_edad_escolar,pobre_solo_por_características_físicas_inadecuadas_de_la_vivienda,pobre_solo_por_no_disponibilidad_de_servicios_básicos_de_la_vivienda,pobre_solo_por_estado_de_hacinamiento_del_hogar,pobre_por_carencia_en_dos_o_más_componentes
CANAR,Déleg,Rural,1793,932.0,87.0,3.0,20.0,510,38.0,203.0
CANAR,Suscal,Urbana,320,228.0,24.0,5.0,2.0,20,13.0,28.0
CANAR,Suscal,Rural,1215,361.0,29.0,0.0,8.0,430,21.0,366.0
CARCHI,Tulcán,Urbana,17595,15591.0,269.0,89.0,115.0,609,642.0,280.0
CARCHI,Tulcán,Rural,10621,4728.0,188.0,41.0,114.0,3369,360.0,1821.0
CARCHI,Bolívar,Urbana,1112,872.0,17.0,0.0,44.0,66,54.0,59.0
CARCHI,Bolívar,Rural,4118,2173.0,67.0,12.0,82.0,1001,114.0,669.0
CARCHI,Espejo,Urbana,1558,1245.0,18.0,6.0,27.0,106,79.0,77.0
CARCHI,Espejo,Rural,2882,1542.0,55.0,2.0,114.0,653,85.0,431.0
CARCHI,Mira,Urbana,1256,1086.0,19.0,4.0,26.0,65,24.0,32.0
CARCHI,Mira,Rural,2906,1237.0,71.0,7.0,70.0,960,51.0,510.0
CARCHI,Montúfar,Urbana,4467,3505.0,103.0,25.0,61.0,349,227.0,197.0
CARCHI,Montúfar,Rural,4749,2471.0,60.0,9.0,120.0,1078,171.0,840.0
CARCHI,San Pedro de Huaca,Urbana,1359,1121.0,14.0,6.0,17.0,100,57.0,44.0
CARCHI,San Pedro de Huaca,Rural,1093,563.0,22.0,8.0,20.0,326,44.0,110.0
COTOPAXI,Latacunga,Urbana,24032,20579.0,298.0,93.0,63.0,1551,790.0,658.0
COTOPAXI,Latacunga,Rural,38186,18550.0,528.0,99.0,158.0,12554,818.0,5479.0
COTOPAXI,La Maná,Urbana,10189,7199.0,215.0,56.0,31.0,1246,872.0,570.0
COTOPAXI,La Maná,Rural,6690,2536.0,112.0,12.0,33.0,2840,206.0,951.0
COTOPAXI,Pangua,Urbana,681,536.0,22.0,3.0,2.0,68,25.0,25.0
COTOPAXI,Pangua,Rural,6417,1722.0,111.0,4.0,24.0,3301,100.0,1155.0
COTOPAXI,Pujilí,Urbana,4855,3803.0,65.0,20.0,30.0,572,161.0,204.0
COTOPAXI,Pujilí,Rural,15559,3355.0,174.0,14.0,124.0,5545,147.0,6200.0
COTOPAXI,Salcedo,Urbana,5198,4444.0,92.0,38.0,32.0,323,157.0,112.0
COTOPAXI,Salcedo,Rural,15206,5971.0,180.0,17.0,92.0,5914,237.0,2795.0
COTOPAXI,Saquisilí,Urbana,2793,1936.0,38.0,10.0,11.0,468,170.0,160.0
COTOPAXI,Saquisilí,Rural,3921,1050.0,29.0,6.0,25.0,1525,55.0,1231.0
COTOPAXI,Sigchos,Urbana,889,564.0,28.0,1.0,4.0,169,38.0,85.0
COTOPAXI,Sigchos,Rural,4746,499.0,28.0,3.0,18.0,1959,58.0,2181.0
CHIMBORAZO,Riobamba,Urbana,57927,52847.0,470.0,229.0,116.0,2373,1347.0,545.0
CHIMBORAZO,Riobamba,Rural,25460,10295.0,343.0,41.0,266.0,8257,469.0,5789.0
CHIMBORAZO,Alausí,Urbana,1934,1584.0,60.0,11.0,14.0,120,78.0,67.0
CHIMBORAZO,Alausí,Rural,9487,1575.0,124.0,5.0,112.0,3354,86.0,4231.0
CHIMBORAZO,Colta,Urbana,859,661.0,30.0,4.0,29.0,45,51.0,39.0
CHIMBORAZO,Colta,Rural,9771,1107.0,58.0,5.0,114.0,3490,40.0,4957.0
CHIMBORAZO,Chambo,Urbana,1584,1339.0,23.0,5.0,5.0,121,47.0,44.0
CHIMBORAZO,Chambo,Rural,2421,1101.0,47.0,9.0,25.0,825,42.0,372.0
CHIMBORAZO,Chunchi,Urbana,1211,1049.0,48.0,3.0,10.0,26,53.0,22.0
CHIMBORAZO,Chunchi,Rural,2165,523.0,61.0,4.0,16.0,1026,29.0,506.0
CHIMBORAZO,Guamote,Urbana,935,623.0,11.0,5.0,10.0,146,68.0,72.0
CHIMBORAZO,Guamote,Rural,9529,660.0,42.0,2.0,81.0,3695,47.0,5002.0
CHIMBORAZO,Guano,Urbana,2654,2168.0,32.0,11.0,21.0,234,117.0,71.0
CHIMBORAZO,Guano,Rural,12242,5057.0,182.0,31.0,78.0,4950,133.0,1811.0
CHIMBORAZO,Pallatanga,Urbana,1338,998.0,53.0,7.0,8.0,135,81.0,56.0
CHIMBORAZO,Pallatanga,Rural,2295,355.0,27.0,5.0,4.0,1388,14.0,502.0
CHIMBORAZO,Penipe,Urbana,395,346.0,9.0,2.0,1.0,17,12.0,8.0
CHIMBORAZO,Penipe,Rural,2028,853.0,47.0,0.0,19.0,834,40.0,235.0
CHIMBORAZO,Cumandá,Urbana,3564,2849.0,127.0,16.0,5.0,293,166.0,108.0
CHIMBORAZO,Cumandá,Rural,1596,559.0,19.0,5.0,2.0,774,20.0,217.0
EL ORO,Machala,Urbana,87713,63768.0,1086.0,1091.0,914.0,10430,4528.0,5896.0
EL ORO,Machala,Rural,5592,1551.0,43.0,12.0,80.0,2495,158.0,1253.0
EL ORO,Arenillas,Urbana,6811,4783.0,114.0,33.0,251.0,630,250.0,750.0
EL ORO,Arenillas,Rural,3481,1540.0,55.0,11.0,100.0,1047,105.0,623.0
EL ORO,Atahualpa,Urbana,566,520.0,14.0,1.0,1.0,18,4.0,8.0
EL ORO,Atahualpa,Rural,1421,648.0,14.0,1.0,2.0,636,21.0,99.0
EL ORO,Balsas,Urbana,1410,832.0,19.0,5.0,5.0,455,52.0,42.0
EL ORO,Balsas,Rural,1022,376.0,14.0,2.0,5.0,498,22.0,105.0
EL ORO,Chilla,Urbana,329,185.0,15.0,3.0,11.0,55,19.0,41.0
EL ORO,Chilla,Rural,475,125.0,1.0,0.0,4.0,178,8.0,159.0
EL ORO,El Guabo,Urbana,8090,5096.0,137.0,41.0,68.0,1449,667.0,632.0
EL ORO,El Guabo,Rural,9633,3837.0,144.0,38.0,94.0,3359,530.0,1631.0
EL ORO,Huaquillas,Urbana,17435,10298.0,295.0,89.0,663.0,2658,597.0,2835.0
EL ORO,Huaquillas,Rural,112,4.0,0.0,1.0,0.0,57,0.0,50.0
EL ORO,Marcabelí,Urbana,1558,1297.0,38.0,9.0,17.0,82,78.0,37.0
EL ORO,Marcabelí,Rural,589,269.0,10.0,1.0,0.0,253,9.0,47.0
EL ORO,Pasaje,Urbana,19079,13757.0,335.0,149.0,162.0,2808,732.0,1136.0
EL ORO,Pasaje,Rural,7410,4023.0,202.0,59.0,128.0,1766,317.0,915.0
EL ORO,Piñas,Urbana,5966,4944.0,71.0,35.0,10.0,719,132.0,55.0
EL ORO,Piñas,Rural,3596,1395.0,43.0,3.0,8.0,1807,72.0,268.0
EL ORO,Portovelo,Urbana,3122,2631.0,46.0,14.0,25.0,129,201.0,76.0
EL ORO,Portovelo,Rural,1249,507.0,14.0,5.0,10.0,558,16.0,139.0
EL ORO,Santa Rosa,Urbana,17873,13996.0,360.0,140.0,435.0,951,923.0,1068.0
EL ORO,Santa Rosa,Rural,7277,4100.0,138.0,23.0,142.0,1658,282.0,934.0
EL ORO,Zaruma,Urbana,3292,2953.0,40.0,11.0,1.0,193,66.0,28.0
EL ORO,Zaruma,Rural,4635,1611.0,31.0,10.0,27.0,1875,71.0,1010.0
EL ORO,Las Lajas,Urbana,511,422.0,26.0,0.0,2.0,16,18.0,27.0
EL ORO,Las Lajas,Rural,1380,772.0,49.0,2.0,30.0,298,51.0,178.0
ESMERALDAS,Esmeraldas,Urbana,46201,34813.0,1082.0,489.0,468.0,3924,2537.0,2888.0
ESMERALDAS,Esmeraldas,Rural,16122,5536.0,208.0,95.0,118.0,6222,441.0,3502.0
ESMERALDAS,Eloy Alfaro,Urbana,1566,508.0,43.0,6.0,7.0,568,54.0,380.0
ESMERALDAS,Eloy Alfaro,Rural,11715,1360.0,115.0,20.0,12.0,6451,139.0,3618.0
ESMERALDAS,Muisne,Urbana,1815,216.0,13.0,0.0,2.0,1144,26.0,414.0
ESMERALDAS,Muisne,Rural,9548,746.0,55.0,3.0,20.0,5560,65.0,3099.0
ESMERALDAS,Quinindé,Urbana,10294,6721.0,362.0,96.0,45.0,1913,465.0,692.0
ESMERALDAS,Quinindé,Rural,30436,5818.0,417.0,54.0,90.0,17877,370.0,5810.0
ESMERALDAS,San Lorenzo,Urbana,7978,2954.0,192.0,29.0,12.0,3227,278.0,1286.0
ESMERALDAS,San Lorenzo,Rural,5702,921.0,110.0,20.0,2.0,3234,87.0,1328.0
ESMERALDAS,Atacames,Urbana,5435,2162.0,107.0,12.0,55.0,1603,242.0,1254.0
ESMERALDAS,Atacames,Rural,9935,2752.0,119.0,20.0,96.0,4009,262.0,2677.0
ESMERALDAS,Rioverde,Urbana,1223,303.0,10.0,5.0,2.0,607,18.0,278.0
ESMERALDAS,Rioverde,Rural,8724,564.0,34.0,7.0,11.0,5933,26.0,2149.0
GUAYAS,Guayaquil,Urbana,782277,607040.0,10119.0,12315.0,6680.0,37123,64384.0,44616.0
GUAYAS,Guayaquil,Rural,28315,13087.0,598.0,277.0,410.0,6134,2175.0,5634.0
GUAYAS,Alfredo Baquerizo Moreno (Juján),Urbana,1976,1054.0,71.0,20.0,13.0,426,98.0,294.0
GUAYAS,Alfredo Baquerizo Moreno (Juján),Rural,6448,303.0,10.0,5.0,10.0,4036,23.0,2061.0
GUAYAS,Balao,Urbana,3657,2545.0,98.0,26.0,37.0,154,608.0,189.0
GUAYAS,Balao,Rural,4006,1893.0,69.0,44.0,33.0,1129,260.0,578.0
GUAYAS,Balzar,Urbana,10221,3939.0,310.0,40.0,121.0,2684,556.0,2571.0
GUAYAS,Balzar,Rural,7936,158.0,7.0,1.0,7.0,3900,16.0,3847.0
GUAYAS,Colimes,Urbana,2557,1408.0,100.0,11.0,100.0,261,176.0,501.0
GUAYAS,Colimes,Rural,5911,402.0,31.0,5.0,17.0,2277,49.0,3130.0
GUAYAS,Daule,Urbana,48263,41635.0,451.0,419.0,405.0,1863,1692.0,1798.0
GUAYAS,Daule,Rural,20151,2768.0,165.0,25.0,159.0,7811,289.0,8934.0
GUAYAS,Durán,Urbana,87416,32472.0,414.0,622.0,137.0,36582,2070.0,15119.0
GUAYAS,Durán,Rural,2729,198.0,3.0,2.0,0.0,1745,2.0,779.0
GUAYAS,El Empalme,Urbana,12603,6133.0,301.0,44.0,95.0,3591,576.0,1863.0
GUAYAS,El Empalme,Rural,11770,1142.0,62.0,5.0,52.0,6199,76.0,4234.0
GUAYAS,El Triunfo,Urbana,12256,7184.0,411.0,87.0,203.0,1921,952.0,1498.0
GUAYAS,El Triunfo,Rural,5809,1302.0,73.0,7.0,48.0,2997,84.0,1298.0
GUAYAS,Milagro,Urbana,49899,33967.0,949.0,683.0,717.0,5684,2972.0,4927.0
GUAYAS,Milagro,Rural,11410,1134.0,34.0,13.0,32.0,7642,98.0,2457.0
GUAYAS,Naranjal,Urbana,11816,8339.0,250.0,185.0,72.0,1033,1000.0,937.0
GUAYAS,Naranjal,Rural,13489,4444.0,144.0,124.0,58.0,5608,558.0,2553.0
GUAYAS,Naranjito,Urbana,10964,7579.0,320.0,103.0,131.0,1139,820.0,872.0
GUAYAS,Naranjito,Rural,2992,573.0,21.0,8.0,4.0,1875,23.0,488.0
GUAYAS,Palestina,Urbana,3409,2066.0,119.0,18.0,80.0,458,248.0,420.0
GUAYAS,Palestina,Rural,2421,39.0,6.0,1.0,1.0,1321,10.0,1043.0
GUAYAS,Pedro Carbo,Urbana,7751,4009.0,231.0,39.0,184.0,1270,632.0,1386.0
GUAYAS,Pedro Carbo,Rural,9402,871.0,70.0,3.0,73.0,3901,105.0,4379.0
GUAYAS,Samborondón,Urbana,24063,20486.0,269.0,1030.0,87.0,1174,621.0,396.0
GUAYAS,Samborondón,Rural,8260,2607.0,169.0,64.0,74.0,2684,360.0,2302.0
GUAYAS,Santa Lucía,Urbana,3421,2208.0,109.0,6.0,63.0,353,288.0,394.0
GUAYAS,Santa Lucía,Rural,10538,1384.0,82.0,7.0,30.0,4631,164.0,4240.0
GUAYAS,Salitre,Urbana,4164,1677.0,66.0,18.0,48.0,1252,264.0,839.0
GUAYAS,Salitre,Rural,15317,544.0,23.0,3.0,15.0,8637,38.0,6057.0
GUAYAS,San Jacinto de Yaguachi,Urbana,7281,4834.0,177.0,128.0,141.0,543,527.0,931.0
GUAYAS,San Jacinto de Yaguachi,Rural,15522,5377.0,171.0,143.0,203.0,5813,576.0,3239.0
GUAYAS,Playas,Urbana,13978,8126.0,302.0,116.0,454.0,1520,1318.0,2142.0
GUAYAS,Playas,Rural,2890,1381.0,101.0,15.0,35.0,579,315.0,464.0
GUAYAS,Simón Bolívar,Urbana,2856,1240.0,47.0,7.0,15.0,1103,96.0,348.0
GUAYAS,Simón Bolívar,Rural,6750,1515.0,43.0,10.0,44.0,3536,82.0,1520.0
GUAYAS,Coronel Marcelino Maridueña,Urbana,2409,2155.0,34.0,12.0,3.0,103,87.0,15.0
GUAYAS,Coronel Marcelino Maridueña,Rural,1684,354.0,14.0,3.0,12.0,1022,21.0,258.0
GUAYAS,Lomas de Sargentillo,Urbana,5020,2852.0,231.0,16.0,102.0,528,423.0,868.0
GUAYAS,Lomas de Sargentillo,Rural,1793,75.0,3.0,0.0,4.0,753,10.0,948.0
GUAYAS,Nobol,Urbana,2945,1922.0,91.0,17.0,101.0,191,300.0,323.0
GUAYAS,Nobol,Rural,4207,1908.0,83.0,15.0,97.0,933,289.0,882.0
GUAYAS,General  Antonio Elizalde,Urbana,2211,1691.0,59.0,12.0,4.0,262,77.0,106.0
GUAYAS,General  Antonio Elizalde,Rural,1558,427.0,15.0,1.0,2.0,809,37.0,267.0
GUAYAS,Isidro Ayora,Urbana,2507,939.0,52.0,3.0,39.0,808,147.0,519.0
GUAYAS,Isidro Ayora,Rural,1935,59.0,2.0,1.0,0.0,1073,13.0,787.0
IMBABURA,Ibarra,Urbana,49841,44643.0,583.0,224.0,194.0,1963,1492.0,742.0
