provincia,cantón,área_de_residencia,asiste_actualmente_a_la_educación_regular_o_formal?,numero_total_de_personas,ninguno,centro_de_desarrollo_infantil/creciendo_con_nuestros_hijos/guardería,número_total_de_personas_que_asisten_o_asistieron_a_educación_inicial,número_total_de_personas_que_asisten_o_asistieron_a_alfabetización,número_total_de_personas_que_asisten_o_asistieron_a_educación_general_básica,número_total_de_personas_que_asisten_o_asistieron_a_bachillerato,número_total_de_personas_que_asisten_o_asistieron_a_ciclo_postbachillerato,número_total_de_personas_que_asisten_o_asistieron_a_educación_técnica_o_tecnológica,número_total_de_personas_que_asisten_o_asistieron_a_educación_superior,número_total_de_personas_que_asisten_o_asistieron_a_maestría/posgrado,número_total_de_personas_que_asisten_o_asistieron_a_phd/doctorado
AZUAY,Chordeleg,Rural,Asiste,2313,0.0,194.0,144.0,3.0,1482,344,12.0,13.0,120.0,1.0,0.0
AZUAY,Chordeleg,Rural,No asiste,5439,808.0,11.0,13.0,49.0,3330,1039,20.0,13.0,147.0,9.0,0.0
AZUAY,El Pan,Urbana,Asiste,150,0.0,5.0,5.0,0.0,85,26,0.0,2.0,27.0,0.0,0.0
AZUAY,El Pan,Urbana,No asiste,353,19.0,0.0,1.0,5.0,117,143,3.0,9.0,46.0,10.0,0.0
AZUAY,El Pan,Rural,Asiste,586,0.0,23.0,20.0,0.0,333,115,5.0,9.0,81.0,0.0,0.0
AZUAY,El Pan,Rural,No asiste,1687,191.0,4.0,13.0,18.0,968,372,6.0,14.0,92.0,9.0,0.0
AZUAY,Sevilla de Oro,Urbana,Asiste,235,0.0,3.0,10.0,0.0,132,43,5.0,7.0,35.0,0.0,0.0
AZUAY,Sevilla de Oro,Urbana,No asiste,497,29.0,3.0,1.0,8.0,191,159,10.0,6.0,71.0,19.0,0.0
AZUAY,Sevilla de Oro,Rural,Asiste,1174,0.0,52.0,54.0,1.0,676,244,2.0,13.0,131.0,1.0,0.0
AZUAY,Sevilla de Oro,Rural,No asiste,2707,257.0,11.0,5.0,17.0,1394,820,9.0,26.0,134.0,32.0,2.0
AZUAY,Guachapala,Urbana,Asiste,380,0.0,5.0,27.0,0.0,201,60,2.0,9.0,75.0,1.0,0.0
AZUAY,Guachapala,Urbana,No asiste,830,78.0,0.0,4.0,3.0,326,289,6.0,10.0,106.0,8.0,0.0
AZUAY,Guachapala,Rural,Asiste,698,0.0,15.0,37.0,0.0,404,140,1.0,6.0,94.0,1.0,0.0
AZUAY,Guachapala,Rural,No asiste,1678,199.0,2.0,2.0,21.0,810,520,4.0,11.0,89.0,19.0,1.0
AZUAY,Camilo Ponce Enríquez,Urbana,Asiste,3259,0.0,131.0,229.0,2.0,1892,538,8.0,45.0,413.0,1.0,0.0
AZUAY,Camilo Ponce Enríquez,Urbana,No asiste,6756,855.0,48.0,25.0,14.0,2244,2731,10.0,105.0,658.0,64.0,2.0
AZUAY,Camilo Ponce Enríquez,Rural,Asiste,4006,0.0,181.0,249.0,0.0,2515,712,22.0,41.0,286.0,0.0,0.0
AZUAY,Camilo Ponce Enríquez,Rural,No asiste,8789,1366.0,50.0,34.0,23.0,3693,3089,21.0,73.0,412.0,27.0,1.0
BOLIVAR,Guaranda,Urbana,Asiste,11482,0.0,230.0,527.0,3.0,4775,1678,35.0,183.0,4035.0,13.0,3.0
BOLIVAR,Guaranda,Urbana,No asiste,19273,1589.0,78.0,49.0,44.0,3794,5159,110.0,589.0,6229.0,1513.0,119.0
BOLIVAR,Guaranda,Rural,Asiste,24078,0.0,1286.0,902.0,13.0,13720,4628,33.0,314.0,3173.0,8.0,1.0
BOLIVAR,Guaranda,Rural,No asiste,43297,10714.0,307.0,157.0,926.0,16181,11120,39.0,611.0,2852.0,373.0,17.0
BOLIVAR,Chillanes,Urbana,Asiste,1024,0.0,13.0,57.0,0.0,536,169,1.0,16.0,232.0,0.0,0.0
BOLIVAR,Chillanes,Urbana,No asiste,2227,275.0,4.0,7.0,4.0,586,709,7.0,65.0,488.0,80.0,2.0
BOLIVAR,Chillanes,Rural,Asiste,4694,0.0,115.0,173.0,2.0,2834,1069,3.0,38.0,460.0,0.0,0.0
BOLIVAR,Chillanes,Rural,No asiste,11857,2070.0,35.0,33.0,104.0,5466,3408,15.0,122.0,568.0,33.0,3.0
BOLIVAR,Chimbo,Urbana,Asiste,1450,0.0,33.0,59.0,0.0,644,281,2.0,33.0,392.0,5.0,1.0
BOLIVAR,Chimbo,Urbana,No asiste,2904,211.0,5.0,8.0,2.0,699,813,7.0,92.0,885.0,182.0,0.0
BOLIVAR,Chimbo,Rural,Asiste,3526,0.0,42.0,125.0,0.0,1826,700,10.0,49.0,774.0,0.0,0.0
BOLIVAR,Chimbo,Rural,No asiste,7644,1117.0,15.0,18.0,61.0,3603,1881,26.0,100.0,742.0,77.0,4.0
BOLIVAR,Echeandía,Urbana,Asiste,2255,0.0,51.0,131.0,2.0,1222,405,9.0,21.0,413.0,1.0,0.0
BOLIVAR,Echeandía,Urbana,No asiste,4883,615.0,9.0,19.0,35.0,1425,1756,10.0,84.0,850.0,75.0,5.0
BOLIVAR,Echeandía,Rural,Asiste,2127,0.0,30.0,115.0,4.0,1266,405,4.0,10.0,293.0,0.0,0.0
BOLIVAR,Echeandía,Rural,No asiste,5389,931.0,9.0,11.0,76.0,2253,1625,5.0,60.0,388.0,30.0,1.0
BOLIVAR,San Miguel,Urbana,Asiste,2926,0.0,38.0,149.0,1.0,1363,491,15.0,36.0,824.0,9.0,0.0
BOLIVAR,San Miguel,Urbana,No asiste,5880,485.0,6.0,9.0,5.0,1002,1393,71.0,193.0,2319.0,374.0,23.0
BOLIVAR,San Miguel,Rural,Asiste,5498,0.0,102.0,191.0,0.0,3020,1122,20.0,102.0,940.0,1.0,0.0
BOLIVAR,San Miguel,Rural,No asiste,14045,1926.0,35.0,28.0,83.0,6280,3751,36.0,291.0,1449.0,158.0,8.0
BOLIVAR,Caluma,Urbana,Asiste,2538,0.0,55.0,170.0,0.0,1386,449,12.0,37.0,425.0,4.0,0.0
