provincia,cantón,fecha,homicidios
MANABI,Pichincha,2020-01-01,0
MANABI,Rocafuerte,2020-01-01,0
MANABI,Santa Ana,2020-01-01,0
MANABI,Sucre,2020-01-01,0
MANABI,Tosagua,2020-01-01,0
MANABI,24 De Mayo,2020-01-01,0
MANABI,Pedernales,2020-01-01,1
MANABI,Olmedo,2020-01-01,1
MANABI,Puerto Lopez,2020-01-01,0
MANABI,Jama,2020-01-01,0
MANABI,Jaramijo,2020-01-01,0
MANABI,San Vicente,2020-01-01,0
MORONA SANTIAGO,Morona,2020-01-01,0
MORONA SANTIAGO,Gualaquiza,2020-01-01,0
MORONA SANTIAGO,Limon Indanza,2020-01-01,0
MORONA SANTIAGO,Palora,2020-01-01,0
MORONA SANTIAGO,Santiago,2020-01-01,0
MORONA SANTIAGO,Sucua,2020-01-01,1
MORONA SANTIAGO,Huamboya,2020-01-01,0
MORONA SANTIAGO,San Juan Bosco,2020-01-01,0
MORONA SANTIAGO,Taisha,2020-01-01,0
MORONA SANTIAGO,Logroño,2020-01-01,0
MORONA SANTIAGO,Pablo Sexto,2020-01-01,0
MORONA SANTIAGO,Canton Tiwintza,2020-01-01,0
NAPO,Tena,2020-01-01,0
NAPO,Archidona,2020-01-01,0
NAPO,El Chaco,2020-01-01,0
NAPO,Quijos,2020-01-01,0
NAPO,Carlos Julio Arosemena Tola,2020-01-01,0
PASTAZA,Pastaza,2020-01-01,0
PASTAZA,Mera,2020-01-01,0
PASTAZA,Santa Clara,2020-01-01,0
PASTAZA,Arajuno,2020-01-01,0
PICHINCHA,Quito,2020-01-01,18
PICHINCHA,Cayambe,2020-01-01,0
PICHINCHA,Mejia,2020-01-01,0
PICHINCHA,Pedro Moncayo,2020-01-01,0
PICHINCHA,Rumiñahui,2020-01-01,0
PICHINCHA,San Miguel De Los Bancos,2020-01-01,0
PICHINCHA,Pedro Vicente Maldonado,2020-01-01,0
PICHINCHA,Puerto Quito,2020-01-01,1
TUNGURAHUA,Ambato,2020-01-01,2
TUNGURAHUA,Baños De Agua Santa,2020-01-01,0
TUNGURAHUA,Cevallos,2020-01-01,0
TUNGURAHUA,Mocha,2020-01-01,0
TUNGURAHUA,Patate,2020-01-01,0
TUNGURAHUA,Quero,2020-01-01,0
TUNGURAHUA,San Pedro De Pelileo,2020-01-01,0
TUNGURAHUA,Santiago De Pillaro,2020-01-01,0
TUNGURAHUA,Tisaleo,2020-01-01,0
ZAMORA CHINCHIPE,Zamora,2020-01-01,0
ZAMORA CHINCHIPE,Chinchipe,2020-01-01,0
ZAMORA CHINCHIPE,Nangaritza,2020-01-01,0
ZAMORA CHINCHIPE,Yacuambi,2020-01-01,0
ZAMORA CHINCHIPE,Yantzaza (Yanzatza),2020-01-01,0
ZAMORA CHINCHIPE,El Pangui,2020-01-01,0
ZAMORA CHINCHIPE,Centinela Del Condor,2020-01-01,0
ZAMORA CHINCHIPE,Palanda,2020-01-01,0
ZAMORA CHINCHIPE,Paquisha,2020-01-01,0
GALAPAGOS,San Cristobal,2020-01-01,0
GALAPAGOS,Isabela,2020-01-01,0
GALAPAGOS,Santa Cruz,2020-01-01,0
SUCUMBIOS,Lago Agrio,2020-01-01,2
SUCUMBIOS,Gonzalo Pizarro,2020-01-01,0
SUCUMBIOS,Putumayo,2020-01-01,0
SUCUMBIOS,Shushufindi,2020-01-01,0
SUCUMBIOS,Sucumbios,2020-01-01,0
SUCUMBIOS,Cascales,2020-01-01,0
SUCUMBIOS,Cuyabeno,2020-01-01,0
ORELLANA,Orellana,2020-01-01,0
ORELLANA,Aguarico,2020-01-01,0
ORELLANA,La Joya De Los Sachas,2020-01-01,1
ORELLANA,Loreto,2020-01-01,0
SANTO DOMINGO DE LOS TSACHILAS,Santo Domingo,2020-01-01,2
SANTO DOMINGO DE LOS TSACHILAS,La Concordia,2020-01-01,0
SANTA ELENA,Santa Elena,2020-01-01,1
SANTA ELENA,La Libertad,2020-01-01,1
SANTA ELENA,Salinas,2020-01-01,1
TOTAL NACIONAL,Total Nacional,2020-01-01,113
AZUAY,Cuenca,2020-02-01,6
AZUAY,Giron,2020-02-01,0
AZUAY,Gualaceo,2020-02-01,0
AZUAY,Nabon,2020-02-01,0
AZUAY,Paute,2020-02-01,0
AZUAY,Pucara,2020-02-01,0
AZUAY,San Fernando,2020-02-01,0
AZUAY,Santa Isabel,2020-02-01,0
AZUAY,Sigsig,2020-02-01,0
AZUAY,Oña,2020-02-01,0
AZUAY,Chordeleg,2020-02-01,0
AZUAY,El Pan,2020-02-01,0
AZUAY,Sevilla De Oro,2020-02-01,0
AZUAY,Guachapala,2020-02-01,0
AZUAY,Camilo Ponce Enriquez,2020-02-01,1
BOLIVAR,Guaranda,2020-02-01,0
BOLIVAR,Chillanes,2020-02-01,0
BOLIVAR,Chimbo,2020-02-01,0
BOLIVAR,Echeandia,2020-02-01,0
BOLIVAR,San Miguel,2020-02-01,0
BOLIVAR,Caluma,2020-02-01,0
BOLIVAR,Las Naves,2020-02-01,0
CANAR,Azogues,2020-02-01,0
CANAR,Biblian,2020-02-01,0
CANAR,Cañar,2020-02-01,0
CANAR,La Troncal,2020-02-01,0
CANAR,El Tambo,2020-02-01,0
CANAR,Deleg,2020-02-01,0
CANAR,Suscal,2020-02-01,0
CARCHI,Tulcan,2020-02-01,1
CARCHI,Bolivar,2020-02-01,0
CARCHI,Espejo,2020-02-01,0
CARCHI,Mira,2020-02-01,0
CARCHI,Montufar,2020-02-01,0
CARCHI,San Pedro De Huaca,2020-02-01,0
COTOPAXI,Latacunga,2020-02-01,0
COTOPAXI,La Mana,2020-02-01,1
COTOPAXI,Pangua,2020-02-01,0
COTOPAXI,Pujili,2020-02-01,2
COTOPAXI,Salcedo,2020-02-01,0
COTOPAXI,Saquisili,2020-02-01,1
COTOPAXI,Sigchos,2020-02-01,0
CHIMBORAZO,Riobamba,2020-02-01,1
CHIMBORAZO,Alausi,2020-02-01,0
CHIMBORAZO,Colta,2020-02-01,0
CHIMBORAZO,Chambo,2020-02-01,0
CHIMBORAZO,Chunchi,2020-02-01,0
