provincia,cantón,área_de_residencia,número_total_de_personas,hombres,mujeres
PICHINCHA,Total Pichincha,Total Pichincha,3089473,1490557,1598916
PICHINCHA,Total Pichincha,Urbana,1958079,941175,1016904
PICHINCHA,Total Pichincha,Rural,1131394,549382,582012
PICHINCHA,Distrito Metropolitano de Quito,Total Distrito Metropolitano de Quito,2679722,1291774,1387948
PICHINCHA,Distrito Metropolitano de Quito,Urbana,1763275,847321,915954
PICHINCHA,Distrito Metropolitano de Quito,Rural,916447,444453,471994
PICHINCHA,Cayambe,Total Cayambe,105267,51000,54267
PICHINCHA,Cayambe,Urbana,44559,21637,22922
PICHINCHA,Cayambe,Rural,60708,29363,31345
PICHINCHA,Mejía,Total Mejía,101894,48864,53030
PICHINCHA,Mejía,Urbana,24188,11473,12715
PICHINCHA,Mejía,Rural,77706,37391,40315
PICHINCHA,Pedro Moncayo,Total Pedro Moncayo,40483,19839,20644
PICHINCHA,Pedro Moncayo,Urbana,13019,6409,6610
PICHINCHA,Pedro Moncayo,Rural,27464,13430,14034
PICHINCHA,Rumiñahui,Total Rumiñahui,107904,51939,55965
PICHINCHA,Rumiñahui,Urbana,96647,46490,50157
PICHINCHA,Rumiñahui,Rural,11257,5449,5808
PICHINCHA,San Miguel de los Bancos,Total San Miguel de los Bancos,13661,6833,6828
PICHINCHA,San Miguel de los Bancos,Urbana,5396,2626,2770
PICHINCHA,San Miguel de los Bancos,Rural,8265,4207,4058
PICHINCHA,Pedro Vicente Maldonado,Total Pedro Vicente Maldonado,15475,7720,7755
PICHINCHA,Pedro Vicente Maldonado,Urbana,7162,3432,3730
PICHINCHA,Pedro Vicente Maldonado,Rural,8313,4288,4025
PICHINCHA,Puerto Quito,Total Puerto Quito,25067,12588,12479
PICHINCHA,Puerto Quito,Urbana,3833,1787,2046
PICHINCHA,Puerto Quito,Rural,21234,10801,10433
TUNGURAHUA,Total Tungurahua,Total Tungurahua,563532,271101,292431
TUNGURAHUA,Total Tungurahua,Urbana,225249,108090,117159
TUNGURAHUA,Total Tungurahua,Rural,338283,163011,175272
TUNGURAHUA,Ambato,Total Ambato,370664,178019,192645
TUNGURAHUA,Ambato,Urbana,177316,85077,92239
TUNGURAHUA,Ambato,Rural,193348,92942,100406
TUNGURAHUA,Baños de Agua Santa,Total Baños de Agua Santa,21908,10686,11222
TUNGURAHUA,Baños de Agua Santa,Urbana,14100,6702,7398
TUNGURAHUA,Baños de Agua Santa,Rural,7808,3984,3824
TUNGURAHUA,Cevallos,Total Cevallos,10433,5032,5401
TUNGURAHUA,Cevallos,Urbana,3754,1800,1954
TUNGURAHUA,Cevallos,Rural,6679,3232,3447
TUNGURAHUA,Mocha,Total Mocha,7260,3553,3707
TUNGURAHUA,Mocha,Urbana,1516,714,802
TUNGURAHUA,Mocha,Rural,5744,2839,2905
TUNGURAHUA,Patate,Total Patate,13879,6783,7096
TUNGURAHUA,Patate,Urbana,2514,1245,1269
TUNGURAHUA,Patate,Rural,11365,5538,5827
TUNGURAHUA,Quero,Total Quero,19084,9335,9749
TUNGURAHUA,Quero,Urbana,3269,1581,1688
TUNGURAHUA,Quero,Rural,15815,7754,8061
TUNGURAHUA,San Pedro de Pelileo,Total San Pedro de Pelileo,63897,30669,33228
TUNGURAHUA,San Pedro de Pelileo,Urbana,11403,5437,5966
TUNGURAHUA,San Pedro de Pelileo,Rural,52494,25232,27262
TUNGURAHUA,Santiago de Píllaro,Total Santiago de Píllaro,42497,20289,22208
TUNGURAHUA,Santiago de Píllaro,Urbana,9816,4776,5040
TUNGURAHUA,Santiago de Píllaro,Rural,32681,15513,17168
TUNGURAHUA,Tisaleo,Total Tisaleo,13910,6735,7175
TUNGURAHUA,Tisaleo,Urbana,1561,758,803
TUNGURAHUA,Tisaleo,Rural,12349,5977,6372
ZAMORA CHINCHIPE,Total Zamora Chinchipe,Total Zamora Chinchipe,110973,55421,55552
ZAMORA CHINCHIPE,Total Zamora Chinchipe,Urbana,51424,25243,26181
ZAMORA CHINCHIPE,Total Zamora Chinchipe,Rural,59549,30178,29371
ZAMORA CHINCHIPE,Zamora,Total Zamora,30186,15004,15182
ZAMORA CHINCHIPE,Zamora,Urbana,17584,8678,8906
ZAMORA CHINCHIPE,Zamora,Rural,12602,6326,6276
ZAMORA CHINCHIPE,Chinchipe,Total Chinchipe,10337,5311,5026
ZAMORA CHINCHIPE,Chinchipe,Urbana,4154,2088,2066
ZAMORA CHINCHIPE,Chinchipe,Rural,6183,3223,2960
ZAMORA CHINCHIPE,Nangaritza,Total Nangaritza,6429,3238,3191
ZAMORA CHINCHIPE,Nangaritza,Urbana,2519,1224,1295
ZAMORA CHINCHIPE,Nangaritza,Rural,3910,2014,1896
ZAMORA CHINCHIPE,Yacuambi,Total Yacuambi,6391,3139,3252
ZAMORA CHINCHIPE,Yacuambi,Urbana,1626,782,844
ZAMORA CHINCHIPE,Yacuambi,Rural,4765,2357,2408
ZAMORA CHINCHIPE,Yantzaza,Total Yantzaza,23370,11539,11831
ZAMORA CHINCHIPE,Yantzaza,Urbana,13335,6503,6832
ZAMORA CHINCHIPE,Yantzaza,Rural,10035,5036,4999
ZAMORA CHINCHIPE,El Pangui,Total El Pangui,12768,6300,6468
ZAMORA CHINCHIPE,El Pangui,Urbana,5340,2602,2738
ZAMORA CHINCHIPE,El Pangui,Rural,7428,3698,3730
ZAMORA CHINCHIPE,Centinela del Cóndor,Total Centinela del Cóndor,7882,3970,3912
ZAMORA CHINCHIPE,Centinela del Cóndor,Urbana,2930,1456,1474
ZAMORA CHINCHIPE,Centinela del Cóndor,Rural,4952,2514,2438
ZAMORA CHINCHIPE,Palanda,Total Palanda,8873,4524,4349
ZAMORA CHINCHIPE,Palanda,Urbana,2353,1142,1211
ZAMORA CHINCHIPE,Palanda,Rural,6520,3382,3138
ZAMORA CHINCHIPE,Paquisha,Total Paquisha,4737,2396,2341
ZAMORA CHINCHIPE,Paquisha,Urbana,1583,768,815
ZAMORA CHINCHIPE,Paquisha,Rural,3154,1628,1526
GALAPAGOS,Total Galápagos,Total Galápagos,28583,14380,14203
GALAPAGOS,Total Galápagos,Urbana,22741,11330,11411
GALAPAGOS,Total Galápagos,Rural,5842,3050,2792
GALAPAGOS,San Cristóbal,Total San Cristóbal,8300,4179,4121
GALAPAGOS,San Cristóbal,Urbana,7290,3644,3646
GALAPAGOS,San Cristóbal,Rural,1010,535,475
GALAPAGOS,Isabela,Total Isabela,3050,1564,1486
GALAPAGOS,Isabela,Urbana,2755,1390,1365
GALAPAGOS,Isabela,Rural,295,174,121
GALAPAGOS,Santa Cruz,Total Santa Cruz,17233,8637,8596
GALAPAGOS,Santa Cruz,Urbana,12696,6296,6400
GALAPAGOS,Santa Cruz,Rural,4537,2341,2196
SUCUMBIOS,Total Sucumbíos,Total Sucumbíos,199014,100167,98847
SUCUMBIOS,Total Sucumbíos,Urbana,81034,39353,41681
SUCUMBIOS,Total Sucumbíos,Rural,117980,60814,57166
SUCUMBIOS,Lago Agrio,Total Lago Agrio,105044,52497,52547
SUCUMBIOS,Lago Agrio,Urbana,55627,26947,28680
SUCUMBIOS,Lago Agrio,Rural,49417,25550,23867
SUCUMBIOS,Gonzalo Pizarro,Total Gonzalo Pizarro,10356,5201,5155
SUCUMBIOS,Gonzalo Pizarro,Urbana,2083,1039,1044
SUCUMBIOS,Gonzalo Pizarro,Rural,8273,4162,4111
SUCUMBIOS,Putumayo,Total Putumayo,9018,4613,4405
SUCUMBIOS,Putumayo,Urbana,2012,943,1069
SUCUMBIOS,Putumayo,Rural,7006,3670,3336
SUCUMBIOS,Shushufindi,Total Shushufindi,50826,25687,25139
SUCUMBIOS,Shushufindi,Urbana,16328,7954,8374
SUCUMBIOS,Shushufindi,Rural,34498,17733,16765
SUCUMBIOS,Sucumbíos,Total Sucumbíos,3174,1609,1565
SUCUMBIOS,Sucumbíos,Urbana,746,364,382
SUCUMBIOS,Sucumbíos,Rural,2428,1245,1183
SUCUMBIOS,Cascales,Total Cascales,11744,5938,5806
SUCUMBIOS,Cascales,Urbana,2510,1201,1309
SUCUMBIOS,Cascales,Rural,9234,4737,4497
SUCUMBIOS,Cuyabeno,Total Cuyabeno,8852,4622,4230
SUCUMBIOS,Cuyabeno,Urbana,1728,905,823
SUCUMBIOS,Cuyabeno,Rural,7124,3717,3407
ORELLANA,Total Orellana,Total Orellana,182166,92241,89925
ORELLANA,Total Orellana,Urbana,73338,36178,37160
ORELLANA,Total Orellana,Rural,108828,56063,52765
ORELLANA,Francisco de Orellana,Total Francisco de Orellana,95130,48163,46967
ORELLANA,Francisco de Orellana,Urbana,51281,25371,25910
ORELLANA,Francisco de Orellana,Rural,43849,22792,21057
ORELLANA,Aguarico,Total Aguarico,6872,3487,3385
ORELLANA,Aguarico,Urbana,657,321,336
ORELLANA,Aguarico,Rural,6215,3166,3049
ORELLANA,La Joya de los Sachas,Total La Joya de los Sachas,52444,26450,25994
ORELLANA,La Joya de los Sachas,Urbana,16023,7876,8147
ORELLANA,La Joya de los Sachas,Rural,36421,18574,17847
ORELLANA,Loreto,Total Loreto,27720,14141,13579
ORELLANA,Loreto,Urbana,5377,2610,2767
ORELLANA,Loreto,Rural,22343,11531,10812
SANTO DOMINGO DE LOS TSACHILAS,Total Santo Domingo de los Tsáchilas,Total Santo Domingo de los Tsáchilas,492969,240169,252800
SANTO DOMINGO DE LOS TSACHILAS,Total Santo Domingo de los Tsáchilas,Urbana,370300,177629,192671
SANTO DOMINGO DE LOS TSACHILAS,Total Santo Domingo de los Tsáchilas,Rural,122669,62540,60129
SANTO DOMINGO DE LOS TSACHILAS,Santo Domingo,Total Santo Domingo,441583,215061,226522
SANTO DOMINGO DE LOS TSACHILAS,Santo Domingo,Urbana,334826,160633,174193
SANTO DOMINGO DE LOS TSACHILAS,Santo Domingo,Rural,106757,54428,52329
SANTO DOMINGO DE LOS TSACHILAS,La Concordia,Total La Concordia,51386,25108,26278
SANTO DOMINGO DE LOS TSACHILAS,La Concordia,Urbana,35474,16996,18478
SANTO DOMINGO DE LOS TSACHILAS,La Concordia,Rural,15912,8112,7800
SANTA ELENA,Total Santa Elena,Total Santa Elena,385735,191303,194432
SANTA ELENA,Total Santa Elena,Urbana,201785,98917,102868
SANTA ELENA,Total Santa Elena,Rural,183950,92386,91564
SANTA ELENA,Santa Elena,Total Santa Elena,186687,93101,93586
SANTA ELENA,Santa Elena,Urbana,54565,26493,28072
SANTA ELENA,Santa Elena,Rural,132122,66608,65514
SANTA ELENA,La Libertad,Total La Libertad,112247,54865,57382
SANTA ELENA,La Libertad,Urbana,112154,54814,57340
SANTA ELENA,La Libertad,Rural,93,51,42
SANTA ELENA,Salinas,Total Salinas,86801,43337,43464
SANTA ELENA,Salinas,Urbana,35066,17610,17456
SANTA ELENA,Salinas,Rural,51735,25727,26008
